number,call
34,A 10-Year-Old Girl Has More Sense Than 34 Of Our States. Now That’s Messed Up.
35,"35 years later, we can still thank 'The Golden Girls' for being a friend"
36,"AIDS Has Killed Almost 36 Million People, But I Bet You've Never Heard The Real Origin Story"
37,See why we have an absolutely ridiculous standard of beauty in just 37 seconds.
38,"After 38 members of his family died, he founded a soccer team to heal his community. It's working."
39,A man and his daughter did 39 random acts of kindness for their birthdays. Heartwarming!
40,"She Was 40 When The Nazis Took Her. Now, She's Outlived Them And Has Something Incredible To Say."
41,"A gay kid tried to kill himself at age 15, then became a really awesome role model at 41."
42,10 Women + 42 Bullets + 14 Hours = Something Beautiful
43,We Put Him On The Cover Of Time And Gave Him $3 Billion. Turns Out That's A Bad Idea.
44,"Job quality index reveals 44% of fully employed make $18,000 a year or less"
45,Could 240 Dollars And 45 Minutes Change Your Life This Much?
46,Having A Bad Day? Here Are 46 Powerful Things You Should Really Hear.
47,Meet the 47 incredible YouTubers joining forces to change the world.
48,48 surprisingly damaging things that men hear all the time.
49,49 kids made a video to define a common word. What they came up with is kind of genius.
50,"I’m honestly fed up with all the bad news, so I illustrated 50 of the best ones from 2019"
51,"4 fascinating things we already know about Area 51, and 1 thing we don't."
52,52 Shades Of Greed': The Best-Looking Thing To Come Out Of The Financial Crisis
53,"53 Miles Of Fence, $1 Billion, And Sensors That Can’t Tell Cattle From People..."
54,"Watch The First 54 Seconds. That’s All I Ask. You’ll Be Hooked After That, I Swear."
55,Zimbabwe drought kills 55 elephants in game park Hwange National Park
56,Michelle Obama is 56 today and Barack's tribute is adorable
57,"After 57 years, Barbie finally gets the makeover that really matters."
58,Recognize: 58% Of Women Use Birth Control For Reasons Other Than Pregnancy Prevention
59,"When 59 children died on Christmas Eve 1913, the world cried with the town of Calumet, Michigan."
60,Have you ever seen so much history packed into 60 seconds?
61,MAP: 61 Countries That Could Lose Their Internet In The Blink Of An Eye
62,It Takes About 20 Celebrities To Explain Why 62 Million Girls Are Being Dumbed Down
63,You've Never Seen A Video Like This Before - I Guarantee It (63 Seconds)
64,"COVID-19 patient with 1% chance to live goes home after 64-days in the hospital, 31 days on a ventilator"
65,"This boy ran 120 miles to raise $65,000 for kids with cancer. But he's not stopping there."
66,"As the queen Oprah Winfrey turns 66 today, here's a look at 28 of her most empowering quotes"
67,Only Russell Brand Can Make A 67-Minute Political Discussion Feel Like A 5-Minute Conversation
68,68 students forced to remove underwear to prove they weren't on period after warden complains
69,"There Are 69 Words You Can't Use At GM, So John Oliver Took The Funniest Ones To Make A Brilliant Ad"
70,"Girl, 8, wins world math championship by solving 70 math problems in 5 minutes — all in her head"
71,"Ozzy Osbourne, 71, reveals he has Parkinson's in emotional interview"
72,Earth Day Strikes will last for three days this year
73,73% of Americans want this to happen ... but they think they don't.
74,6 Countries Export 74% Of All Weapons To The World. Guess Who's #1?
75,"This 75-year-old woman has fostered more than 600 children in 50 years: ""I had so much love to give"""
76,Read eBook Ranger Handbook: Sh 21-76 (Paperback)
77,"In 77 Seconds, She Sums Up Why So Many Women Don't Ask For Help With *This* Problem"
78,A crew of 78 women is headed to Antarctica for bigger reasons than research.
79,Upworthy
80,What dating at 80 can reveal about the delightfulness of life and being human.
81,WOW: There's An 81% Chance A Girl Will Diet By Age 10
82,"Bodybuilder grandma, 82, smashes table on burglar's head: ""Guess what? I'm tough"""
83,"If you can read this, you're one of the 83 people in the world who can."
84,This '21-year-old' just had her first legal drink at 84 thanks to Ryan Reynolds' Leap Day gin ad
85,Finland just gave fathers 7 months of paid family leave while 85% of all Americans still get zero
86,They did it 86 times to every other president combined. 82 times to Obama alone.
87,What Actually Makes Things Go Viral Will Blow Your Mind. (Hint: It’s Not Headlines Like This.)
88,Octogenarian and Centenarian Release Album of New Music for Old People
89,This hilarious 89-year-old's comedy debut is just the laugh you need.
90,'Just because I’m 90 doesn’t mean I'm ready to die. Nobody has the right to write me off.'
